model,image_number,image_filename,ssim,psnr
GPT,71,image_071.png,0.00543753362018712,6.994203615830067
GPT,72,image_072.png,0.005433030900404408,6.993549541229724
GPT,73,image_073.png,0.005431042867273192,6.993834638746483
GPT,74,image_074.png,0.005425869072773132,6.99407343701182
GPT,75,image_075.png,0.005415953960880084,6.993781819134444
GPT,76,image_076.png,0.005418728658836009,6.993466934077929
GPT,77,image_077.png,0.0054110038142704524,6.993300001839746
GPT,78,image_078.png,0.005410942668119588,6.992958669924074
GPT,79,image_079.png,0.005407217226529905,6.992804215229155
GPT,80,image_080.png,0.005404339330813348,6.992980521152634
GPT,81,image_081.png,0.005404106998010598,6.992805052590484
GPT,82,image_082.png,0.005399120882559849,6.992263004845763
GPT,83,image_083.png,0.005393931274156889,6.992057857072586
GPT,84,image_084.png,0.005394084210357871,6.991689331478245
GPT,85,image_085.png,0.005403690610231242,6.9915322872052075
GPT,86,image_086.png,0.005404676272342012,6.991955859895088
GPT,87,image_087.png,0.00540358790016613,6.991764661365575
GPT,88,image_088.png,0.005403254552076601,6.9916298759404425
GPT,89,image_089.png,0.005394551928418906,6.9920008975034085
GPT,90,image_090.png,0.005386384624786217,6.991729401648347
GPT,91,image_091.png,0.005386526825416386,6.991637954951826
GPT,92,image_092.png,0.0053833168112660075,6.9915455034089575
GPT,93,image_093.png,0.00538269213354471,6.991811924708227
GPT,94,image_094.png,0.005381042199846613,6.991362289161258
GPT,95,image_095.png,0.005387904585569321,6.991400817048294
GPT,96,image_096.png,0.0053880263759793256,6.991233265320837
GPT,97,image_097.png,0.005382938412610194,6.99120969039189
GPT,98,image_098.png,0.005388380982815726,6.9915363963893125
GPT,99,image_099.png,0.0053886777156849225,6.991550530813343
GPT,100,image_100.png,0.005392629720512777,6.991058032350312
GPT-Mini,1,image_001.png,0.27732369579235633,16.21095051175333
GPT-Mini,2,image_002.png,0.288639750562795,14.499601980535486
GPT-Mini,3,image_003.png,0.23226032177770903,12.728310815230795
GPT-Mini,4,image_004.png,0.26224605226158954,11.506509898936091
GPT-Mini,5,image_005.png,0.237356344426123,10.551743341448276
GPT-Mini,6,image_006.png,0.22104795605832225,9.902361558127584
GPT-Mini,7,image_007.png,0.2083998156557672,9.5450760417704
GPT-Mini,8,image_008.png,0.1958660596447998,9.30915777531996
